textbox3,Month,Year,Date,CropNameUrdu,textbox2
Khudian    View Graph,November - 2015,November,19-November-2022,Pomegranate(Kandhari),"19,900.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Grapes (Other),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Grapes Sundekhani,"35,000.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Grapes Gola,"24,000.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Peach,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Peach Special,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Lady Finger/Okra (بھنڈی توری),"5,650.00"
Khudian    View Graph,November - 2015,November,19-November-2022,jujube(بیر),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Gram Flour (بیسن),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Brinjal,"1,650.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Spinach,"2,200.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Papaya(پپیتا),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Mint(پودینہ),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Cauliflower,"2,100.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Onion,"18,300.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Watermelon,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Turmeric Whole(ثابت ہلدی),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Persimmon(جاپانی پھل),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Jaman,NA
Khudian    View Graph,November - 2015,November,19-November-2022,green chickpeas(چھولیا),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Pumpkin,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Melon,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Apricot Yellow,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Apricot White,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Gram Pulse,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Coriander (دھنیا),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Mustard Greens(ساگ سرسوں),"2,900.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Green Onion,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Water chestnut(سنگھاڑا),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Apple (Ammre),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Apple Kala Kullu (Madani),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Apple Kala Kullu (Pahari),"22,450.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Apple (Gatcha),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Apple (Golden),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Sweet Potato(شکر قندی),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Turnip,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Capsicum (شملہ مرچ),"7,200.00"
Khudian    View Graph,November - 2015,November,19-November-2022,feutral early(100 Pcs) فروٹر,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Gram Black,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Bottle Gourd (کدو),"1,800.00"
